feature,importance
category_TRANSIENT,0.6772877
category_ISSUER_DECLINE,0.06410888
category_PAYMENT_METHOD,0.064056255
category_UNKNOWN,0.030282788
attempt_number,0.023923041
category_CUSTOMER_FUNDS,0.021161318
repeat_failure,0.020202005
time_decay,0.0095692575
hours_since_failure,0.007435691
customer_success_rate,0.0071255094
is_subscription,0.0062960535
high_value,0.006256202
amount_normalized,0.005712884
high_ltv,0.0056398823
failure_rate,0.005313729
amount,0.004735503
customer_failed_transactions,0.0044595893
customer_lifetime_value,0.004445166
method_card,0.0044187494
method_emi,0.0044174576
customer_successful_transactions,0.004283708
customer_total_transactions,0.004158948
method_netbanking,0.004142541
method_wallet,0.0040370002
ltv_normalized,0.0038033333
method_upi,0.002726846
